iter	Passed	Remaining
0	77	77720
1	93	46874
2	108	36107
3	122	30616
4	138	27515
5	153	25481
6	167	23731
7	184	22928
8	198	21871
9	213	21168
10	230	20716
11	246	20303
12	262	19965
13	275	19416
14	287	18874
15	301	18570
16	314	18186
17	327	17890
18	343	17722
19	355	17443
20	372	17351
21	386	17180
22	404	17179
23	418	17001
24	435	16983
25	447	16781
26	461	16627
27	475	16511
28	492	16502
29	509	16481
30	524	16392
31	538	16288
32	554	16244
33	567	16131
34	584	16118
35	597	15993
36	610	15879
37	625	15825
38	641	15796
39	657	15771
40	671	15709
41	685	15646
42	701	15604
43	714	15524
44	729	15491
45	741	15370
46	753	15278
47	767	15214
48	778	15116
49	792	15057
50	808	15049
51	821	14975
52	833	14901
53	846	14829
54	864	14858
55	877	14792
56	889	14710
57	902	14658
58	918	14646
59	930	14580
60	947	14578
61	962	14563
62	978	14552
63	993	14525
64	1007	14490
65	1021	14456
66	1027	14314
67	1041	14268
68	1055	14246
69	1069	14207
70	1083	14175
71	1098	14157
72	1111	14115
73	1124	14075
74	1137	14029
75	1151	13993
76	1168	14005
77	1180	13953
78	1193	13911
79	1206	13875
80	1219	13837
81	1232	13801
82	1246	13767
83	1260	13740
84	1272	13700
85	1285	13662
86	1299	13633
87	1311	13592
88	1324	13553
89	1336	13516
90	1350	13493
91	1362	13451
92	1374	13409
93	1391	13411
94	1405	13387
95	1418	13354
96	1431	13328
97	1451	13357
98	1465	13332
99	1476	13290
100	1492	13283
101	1505	13251
102	1520	13238
103	1537	13242
104	1550	13217
105	1570	13247
106	1583	13212
107	1597	13194
108	1610	13164
109	1624	13141
110	1640	13138
111	1653	13113
112	1667	13092
113	1684	13095
114	1698	13070
115	1711	13044
116	1725	13025
117	1737	12989
118	1752	12970
119	1769	12973
120	1784	12960
121	1797	12933
122	1809	12903
123	1822	12877
124	1838	12869
125	1853	12859
126	1867	12840
127	1882	12825
128	1899	12825
129	1917	12832
130	1932	12822
131	1945	12795
